timestamp,type,f1,f2,f3,f4a,f4b,f4c,angle,value1,v2a,v2b,v2c,value3,video2_header,video2_entries
2026-04-14T21:43:38,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:39,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:40,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:41,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:42,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:43,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:44,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:45,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:46,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:47,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:48,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:49,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:50,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:51,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:52,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:53,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:54,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:55,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:56,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:57,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:58,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:43:59,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:00,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:01,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:02,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:03,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:04,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:05,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:06,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:07,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:08,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:09,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:10,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:11,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:12,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:13,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:14,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:15,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:16,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:17,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:18,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:19,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:20,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:21,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:22,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:23,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:24,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:25,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:26,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:27,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:28,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:29,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:30,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:31,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:32,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:33,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:34,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:35,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:36,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:37,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:38,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:39,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:40,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:41,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:42,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:43,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:44,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:45,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:46,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:47,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:48,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:49,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:50,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:51,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:52,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:53,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:54,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:55,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:56,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:57,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:58,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:44:59,track,2914,38,5999,83,176,60,,,,,,,,
2026-04-14T21:45:00,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:01,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:02,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:03,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:04,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:05,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:06,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:07,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:08,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:09,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:10,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:11,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:12,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:13,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:14,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:15,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:16,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:17,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:18,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:19,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:20,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:21,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:22,track,22777,140,43279,109,150,59,,,,,,,,
2026-04-14T21:45:23,track,22777,140,43279,109,150,59,,,,,,,,
